app_name,user_name,rating,review,thumbs_up,date,casefolded_review,tokenize_review,review_tanpa_tanda_baca,review_tanpa_spasi,normalized_review,review_tanpa_stopwords,stemmed_review,cleaned_review
Duolingo,Roro Joro,5,mantap sekarang gua bisa translator,0,10/10/2025,mantap sekarang gua bisa translator,"['mantap', 'sekarang', 'gua', 'bisa', 'translator']","['mantap', 'sekarang', 'gua', 'bisa', 'translator']","['mantap', 'sekarang', 'gua', 'bisa', 'translator']","['mantap', 'sekarang', 'saya', 'bisa', 'translator']","['mantap', 'translator']","['mantap', 'translator']","['mantap', 'translator']"
Duolingo,Rahmat Senpaiii,5,"Behh asli buat yang masih pemula atau udh pro wajib download ini, sangat membantu ini, klau bisa tambahkan Mabar sama teman",0,10/10/2025,"behh asli buat yang masih pemula atau udh pro wajib download ini, sangat membantu ini, klau bisa tambahkan mabar sama teman","['behh', 'asli', 'buat', 'yang', 'masih', 'pemula', 'atau', 'udh', 'pro', 'wajib', 'download', 'ini', ',', 'sangat', 'membantu', 'ini', ',', 'klau', 'bisa', 'tambahkan', 'mabar', 'sama', 'teman']","['behh', 'asli', 'buat', 'yang', 'masih', 'pemula', 'atau', 'udh', 'pro', 'wajib', 'download', 'ini', '', 'sangat', 'membantu', 'ini', '', 'klau', 'bisa', 'tambahkan', 'mabar', 'sama', 'teman']","['behh', 'asli', 'buat', 'yang', 'masih', 'pemula', 'atau', 'udh', 'pro', 'wajib', 'download', 'ini', '', 'sangat', 'membantu', 'ini', '', 'klau', 'bisa', 'tambahkan', 'mabar', 'sama', 'teman']","['behh', 'asli', 'buat', 'yang', 'masih', 'pemula', 'atau', 'sudah', 'pro', 'wajib', 'download', 'ini', '', 'sangat', 'membantu', 'ini', '', 'kalau', 'bisa', 'tambahkan', 'mabar', 'sama', 'teman']","['behh', 'asli', 'pemula', 'pro', 'wajib', 'download', '', 'membantu', '', 'tambahkan', 'mabar', 'teman']","['behh', 'asli', 'mula', 'pro', 'wajib', 'download', '', 'bantu', '', 'tambah', 'mabar', 'teman']","['behh', 'asli', 'mula', 'pro', 'wajib', 'download', 'bantu', 'tambah', 'mabar', 'teman']"
Duolingo,Sigit Putra Swara,5,aplikasinya baik sekal,0,10/10/2025,aplikasinya baik sekal,"['aplikasinya', 'baik', 'sekal']","['aplikasinya', 'baik', 'sekal']","['aplikasinya', 'baik', 'sekal']","['aplikasi', 'baik', 'sekali']",['aplikasi'],['aplikasi'],['aplikasi']
Duolingo,Almeeranur Chayra,5,"karena lebih mudah untuk belajar bahasa terutama bahasa inggris dan juga Duolingo menyenangkan,seru,asik,menambah ilmu berbahasa kepada orang di luar negeri mau pun di asia,maupu di eropa",0,10/10/2025,"karena lebih mudah untuk belajar bahasa terutama bahasa inggris dan juga duolingo menyenangkan,seru,asik,menambah ilmu berbahasa kepada orang di luar negeri mau pun di asia,maupu di eropa","['karena', 'lebih', 'mudah', 'untuk', 'belajar', 'bahasa', 'terutama', 'bahasa', 'inggris', 'dan', 'juga', 'duolingo', 'menyenangkan', ',', 'seru', ',', 'asik', ',', 'menambah', 'ilmu', 'berbahasa', 'kepada', 'orang', 'di', 'luar', 'negeri', 'mau', 'pun', 'di', 'asia', ',', 'maupu', 'di', 'eropa']","['karena', 'lebih', 'mudah', 'untuk', 'belajar', 'bahasa', 'terutama', 'bahasa', 'inggris', 'dan', 'juga', 'duolingo', 'menyenangkan', '', 'seru', '', 'asik', '', 'menambah', 'ilmu', 'berbahasa', 'kepada', 'orang', 'di', 'luar', 'negeri', 'mau', 'pun', 'di', 'asia', '', 'maupu', 'di', 'eropa']","['karena', 'lebih', 'mudah', 'untuk', 'belajar', 'bahasa', 'terutama', 'bahasa', 'inggris', 'dan', 'juga', 'duolingo', 'menyenangkan', '', 'seru', '', 'asik', '', 'menambah', 'ilmu', 'berbahasa', 'kepada', 'orang', 'di', 'luar', 'negeri', 'mau', 'pun', 'di', 'asia', '', 'maupu', 'di', 'eropa']","['karena', 'lebih', 'mudah', 'untuk', 'belajar', 'bahasa', 'terutama', 'bahasa', 'inggris', 'dan', 'juga', 'duolingo', 'menyenangkan', '', 'seru', '', 'asik', '', 'menambah', 'ilmu', 'berbahasa', 'kepada', 'orang', 'di', 'luar', 'negeri', 'mau', 'pun', 'di', 'asia', '', 'maupu', 'di', 'eropa']","['mudah', 'belajar', 'bahasa', 'bahasa', 'inggris', 'duolingo', 'menyenangkan', '', 'seru', '', 'asik', '', 'menambah', 'ilmu', 'berbahasa', 'orang', 'negeri', 'asia', '', 'maupu', 'eropa']","['mudah', 'ajar', 'bahasa', 'bahasa', 'inggris', 'duolingo', 'senang', '', 'seru', '', 'asik', '', 'tambah', 'ilmu', 'bahasa', 'orang', 'negeri', 'asia', '', 'maupu', 'eropa']","['mudah', 'ajar', 'bahasa', 'bahasa', 'inggris', 'senang', 'seru', 'asik', 'tambah', 'ilmu', 'bahasa', 'orang', 'negeri', 'asia', 'maupu', 'eropa']"
Duolingo,Aghits Agul,5,"aplikasi bagus buat belajar bahasa, terutama bahasa Inggris, rekomendasi buat kalian kaum mager nih wkwkkw",0,10/10/2025,"aplikasi bagus buat belajar bahasa, terutama bahasa inggris, rekomendasi buat kalian kaum mager nih wkwkkw","['aplikasi', 'bagus', 'buat', 'belajar', 'bahasa', ',', 'terutama', 'bahasa', 'inggris', ',', 'rekomendasi', 'buat', 'kalian', 'kaum', 'mager', 'nih', 'wkwkkw']","['aplikasi', 'bagus', 'buat', 'belajar', 'bahasa', '', 'terutama', 'bahasa', 'inggris', '', 'rekomendasi', 'buat', 'kalian', 'kaum', 'mager', 'nih', 'wkwkkw']","['aplikasi', 'bagus', 'buat', 'belajar', 'bahasa', '', 'terutama', 'bahasa', 'inggris', '', 'rekomendasi', 'buat', 'kalian', 'kaum', 'mager', 'nih', 'wkwkkw']","['aplikasi', 'bagus', 'buat', 'belajar', 'bahasa', '', 'terutama', 'bahasa', 'inggris', '', 'rekomendasi', 'buat', 'kalian', 'kaum', 'mager', 'nih', 'wkwkkw']","['aplikasi', 'bagus', 'belajar', 'bahasa', '', 'bahasa', 'inggris', '', 'rekomendasi', 'kaum', 'mager', 'nih', 'wkwkkw']","['aplikasi', 'bagus', 'ajar', 'bahasa', '', 'bahasa', 'inggris', '', 'rekomendasi', 'kaum', 'mager', 'nih', 'wkwkkw']","['aplikasi', 'bagus', 'ajar', 'bahasa', 'bahasa', 'inggris', 'rekomendasi', 'kaum', 'mager', 'wkwkkw']"
Duolingo,Evy Usmalani Usmalani,5,bagus bangettt aplikasi nya dan ada kata kata gramer juga soalnya saya butuh. belajar kata kata dan gramer dan melatih motorik juga👍,0,10/10/2025,bagus bangettt aplikasinya dan ada kata kata gramer juga soalnya saya butuh. belajar kata kata dan gramer dan melatih motorik juga👍,"['bagus', 'bangettt', 'aplikasinya', 'dan', 'ada', 'kata', 'kata', 'gramer', 'juga', 'soalnya', 'saya', 'butuh', '.', 'belajar', 'kata', 'kata', 'dan', 'gramer', 'dan', 'melatih', 'motorik', 'juga👍']","['bagus', 'bangettt', 'aplikasinya', 'dan', 'ada', 'kata', 'kata', 'gramer', 'juga', 'soalnya', 'saya', 'butuh', '', 'belajar', 'kata', 'kata', 'dan', 'gramer', 'dan', 'melatih', 'motorik', 'juga👍']","['bagus', 'bangettt', 'aplikasinya', 'dan', 'ada', 'kata', 'kata', 'gramer', 'juga', 'soalnya', 'saya', 'butuh', '', 'belajar', 'kata', 'kata', 'dan', 'gramer', 'dan', 'melatih', 'motorik', 'juga👍']","['bagus', 'banget', 'aplikasi', 'dan', 'ada', 'kata', 'kata', 'gramer', 'juga', 'soalnya', 'saya', 'butuh', '', 'belajar', 'kata', 'kata', 'dan', 'gramer', 'dan', 'melatih', 'motorik', 'juga👍']","['bagus', 'banget', 'aplikasi', 'gramer', 'butuh', '', 'belajar', 'gramer', 'melatih', 'motorik', 'juga👍']","['bagus', 'banget', 'aplikasi', 'gramer', 'butuh', '', 'ajar', 'gramer', 'latih', 'motorik', 'juga']","['bagus', 'banget', 'aplikasi', 'gramer', 'butuh', 'ajar', 'gramer', 'latih', 'motorik', 'juga']"
Duolingo,Muh. Zulfikar,5,MEMBANTU MELANCARKAN BAHASA INGGRIS BAGI PEMULA AKU SUKA APLIKASI INI🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,0,10/10/2025,membantu melancarkan bahasa inggris bagi pemula aku suka aplikasi ini🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,"['membantu', 'melancarkan', 'bahasa', 'inggris', 'bagi', 'pemula', 'aku', 'suka', 'aplikasi', 'ini🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰']","['membantu', 'melancarkan', 'bahasa', 'inggris', 'bagi', 'pemula', 'aku', 'suka', 'aplikasi', 'ini🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰']","['membantu', 'melancarkan', 'bahasa', 'inggris', 'bagi', 'pemula', 'aku', 'suka', 'aplikasi', 'ini🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰']","['membantu', 'melancarkan', 'bahasa', 'inggris', 'bagi', 'pemula', 'aku', 'suka', 'aplikasi', 'ini🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰']","['membantu', 'melancarkan', 'bahasa', 'inggris', 'pemula', 'suka', 'aplikasi', 'ini🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰']","['bantu', 'lancar', 'bahasa', 'inggris', 'mula', 'suka', 'aplikasi', 'ini']","['bantu', 'lancar', 'bahasa', 'inggris', 'mula', 'suka', 'aplikasi', 'ini']"
Duolingo,Dea Rizkia,4,gatau belum download,0,10/10/2025,gatau belum download,"['gatau', 'belum', 'download']","['gatau', 'belum', 'download']","['gatau', 'belum', 'download']","['gatau', 'belum', 'download']","['gatau', 'download']","['gatau', 'download']","['gatau', 'download']"
Duolingo,Zia Maulida,5,"apk nya bisa buat belajar berbagai bhs, saya suka belajar bahasa inggris, jepang, korea, dan china🤭",0,10/10/2025,"apknya bisa buat belajar berbagai bhs, saya suka belajar bahasa inggris, jepang, korea, dan china🤭","['apknya', 'bisa', 'buat', 'belajar', 'berbagai', 'bhs', ',', 'saya', 'suka', 'belajar', 'bahasa', 'inggris', ',', 'jepang', ',', 'korea', ',', 'dan', 'china🤭']","['apknya', 'bisa', 'buat', 'belajar', 'berbagai', 'bhs', '', 'saya', 'suka', 'belajar', 'bahasa', 'inggris', '', 'jepang', '', 'korea', '', 'dan', 'china🤭']","['apknya', 'bisa', 'buat', 'belajar', 'berbagai', 'bhs', '', 'saya', 'suka', 'belajar', 'bahasa', 'inggris', '', 'jepang', '', 'korea', '', 'dan', 'china🤭']","['aplikasi', 'bisa', 'buat', 'belajar', 'berbagai', 'bahasa', '', 'saya', 'suka', 'belajar', 'bahasa', 'inggris', '', 'jepang', '', 'korea', '', 'dan', 'china🤭']","['aplikasi', 'belajar', 'bahasa', '', 'suka', 'belajar', 'bahasa', 'inggris', '', 'jepang', '', 'korea', '', 'china🤭']","['aplikasi', 'ajar', 'bahasa', '', 'suka', 'ajar', 'bahasa', 'inggris', '', 'jepang', '', 'korea', '', 'china']","['aplikasi', 'ajar', 'bahasa', 'suka', 'ajar', 'bahasa', 'inggris', 'jepang', 'korea', 'china']"
Duolingo,Hengky Kurnia,5,bagus aky jadi makin pinter bahasa ingris yay,0,10/10/2025,bagus aky jadi makin pinter bahasa ingris yay,"['bagus', 'aky', 'jadi', 'makin', 'pinter', 'bahasa', 'ingris', 'yay']","['bagus', 'aky', 'jadi', 'makin', 'pinter', 'bahasa', 'ingris', 'yay']","['bagus', 'aky', 'jadi', 'makin', 'pinter', 'bahasa', 'ingris', 'yay']","['bagus', 'saya', 'jadi', 'makin', 'pintar', 'bahasa', 'ingris', 'yay']","['bagus', 'pintar', 'bahasa', 'ingris', 'yay']","['bagus', 'pintar', 'bahasa', 'ingris', 'yay']","['bagus', 'pintar', 'bahasa', 'ingris', 'yay']"
Duolingo,toni ritantiyo,5,kerenn sekali,0,10/10/2025,kerenn sekali,"['kerenn', 'sekali']","['kerenn', 'sekali']","['kerenn', 'sekali']","['keren', 'sekali']",['keren'],['keren'],['keren']
Duolingo,meldah 2611,5,bagus,0,10/10/2025,bagus,['bagus'],['bagus'],['bagus'],['bagus'],['bagus'],['bagus'],['bagus']
Duolingo,Dinda,5,sangat membantu saya dalam belajar bahasa Inggris,0,10/10/2025,sangat membantu saya dalam belajar bahasa inggris,"['sangat', 'membantu', 'saya', 'dalam', 'belajar', 'bahasa', 'inggris']","['sangat', 'membantu', 'saya', 'dalam', 'belajar', 'bahasa', 'inggris']","['sangat', 'membantu', 'saya', 'dalam', 'belajar', 'bahasa', 'inggris']","['sangat', 'membantu', 'saya', 'dalam', 'belajar', 'bahasa', 'inggris']","['membantu', 'belajar', 'bahasa', 'inggris']","['bantu', 'ajar', 'bahasa', 'inggris']","['bantu', 'ajar', 'bahasa', 'inggris']"
Duolingo,Ae101 Cikuning,5,sangat seru untuk belajar sambil bermain☺️,0,10/10/2025,sangat seru untuk belajar sambil bermain☺️,"['sangat', 'seru', 'untuk', 'belajar', 'sambil', 'bermain☺️']","['sangat', 'seru', 'untuk', 'belajar', 'sambil', 'bermain☺️']","['sangat', 'seru', 'untuk', 'belajar', 'sambil', 'bermain☺️']","['sangat', 'seru', 'untuk', 'belajar', 'sambil', 'bermain☺️']","['seru', 'belajar', 'bermain☺️']","['seru', 'ajar', 'main']","['seru', 'ajar', 'main']"
Duolingo,Kafka Ali mustofa,5,membantu belajar inggris,0,10/10/2025,membantu belajar inggris,"['membantu', 'belajar', 'inggris']","['membantu', 'belajar', 'inggris']","['membantu', 'belajar', 'inggris']","['membantu', 'belajar', 'inggris']","['membantu', 'belajar', 'inggris']","['bantu', 'ajar', 'inggris']","['bantu', 'ajar', 'inggris']"
Duolingo,M Padli,5,mantap bagus banget untuk belajar,0,10/10/2025,mantap bagus banget untuk belajar,"['mantap', 'bagus', 'banget', 'untuk', 'belajar']","['mantap', 'bagus', 'banget', 'untuk', 'belajar']","['mantap', 'bagus', 'banget', 'untuk', 'belajar']","['mantap', 'bagus', 'banget', 'untuk', 'belajar']","['mantap', 'bagus', 'banget', 'belajar']","['mantap', 'bagus', 'banget', 'ajar']","['mantap', 'bagus', 'banget', 'ajar']"
Duolingo,Nada Chan,5,sangat baik,0,10/10/2025,sangat baik,"['sangat', 'baik']","['sangat', 'baik']","['sangat', 'baik']","['sangat', 'baik']",[],[],[]
Duolingo,Nurriz Rayqal,5,makasih dulingo aku kelas 3 SMP sudah agak bisa bahasa jepang 👍👍👍😁,0,10/10/2025,makasih dulingo aku kelas 3 smp sudah agak bisa bahasa jepang 👍👍👍😁,"['makasih', 'dulingo', 'aku', 'kelas', '3', 'smp', 'sudah', 'agak', 'bisa', 'bahasa', 'jepang', '👍👍👍😁']","['makasih', 'dulingo', 'aku', 'kelas', '3', 'smp', 'sudah', 'agak', 'bisa', 'bahasa', 'jepang', '👍👍👍😁']","['makasih', 'dulingo', 'aku', 'kelas', '3', 'smp', 'sudah', 'agak', 'bisa', 'bahasa', 'jepang', '👍👍👍😁']","['makasih', 'dulingo', 'aku', 'kelas', '3', 'smp', 'sudah', 'agak', 'bisa', 'bahasa', 'jepang', '👍👍👍😁']","['makasih', 'dulingo', 'kelas', '3', 'smp', 'bahasa', 'jepang', '👍👍👍😁']","['makasih', 'dulingo', 'kelas', '3', 'smp', 'bahasa', 'jepang', '']","['makasih', 'dulingo', 'kelas', 'smp', 'bahasa', 'jepang']"
Duolingo,Naura Ara,5,sangat cocok untuk belajar bahasa inggris👍👍,0,10/10/2025,sangat cocok untuk belajar bahasa inggris👍👍,"['sangat', 'cocok', 'untuk', 'belajar', 'bahasa', 'inggris👍👍']","['sangat', 'cocok', 'untuk', 'belajar', 'bahasa', 'inggris👍👍']","['sangat', 'cocok', 'untuk', 'belajar', 'bahasa', 'inggris👍👍']","['sangat', 'cocok', 'untuk', 'belajar', 'bahasa', 'inggris👍👍']","['cocok', 'belajar', 'bahasa', 'inggris👍👍']","['cocok', 'ajar', 'bahasa', 'inggris']","['cocok', 'ajar', 'bahasa', 'inggris']"
Duolingo,Pratiwi Yulianti,5,"keren sekalii,mudah dipahami, timaaciw duolingo",0,10/10/2025,"keren sekalii,mudah dipahami, timaaciw duolingo","['keren', 'sekalii', ',', 'mudah', 'dipahami', ',', 'timaaciw', 'duolingo']","['keren', 'sekalii', '', 'mudah', 'dipahami', '', 'timaaciw', 'duolingo']","['keren', 'sekalii', '', 'mudah', 'dipahami', '', 'timaaciw', 'duolingo']","['keren', 'sekali', '', 'mudah', 'dipahami', '', 'makasih', 'duolingo']","['keren', '', 'mudah', 'dipahami', '', 'makasih', 'duolingo']","['keren', '', 'mudah', 'paham', '', 'makasih', 'duolingo']","['keren', 'mudah', 'paham', 'makasih']"
Duolingo,Shaaa_ Ackermnn,2,"belajarnya terlalu nyantai, itu² aja.",0,10/10/2025,"belajarnya terlalu nyantai, itu² aja.","['belajarnya', 'terlalu', 'nyantai', ',', 'itu²', 'aja', '.']","['belajarnya', 'terlalu', 'nyantai', '', 'itu²', 'aja', '']","['belajarnya', 'terlalu', 'nyantai', '', 'itu²', 'aja', '']","['belajarnya', 'terlalu', 'nyantai', '', 'itu²', 'saja', '']","['belajarnya', 'nyantai', '', 'itu²', '']","['ajar', 'nyantai', '', 'itu', '']","['ajar', 'nyantai', 'itu']"
Duolingo,Andika Pertiwi,5,baguss dan iklan nya dikit makasih duooo🫶🫶🫶🫶🫶,0,10/10/2025,baguss dan iklannya dikit makasih duooo🫶🫶🫶🫶🫶,"['baguss', 'dan', 'iklannya', 'dikit', 'makasih', 'duooo🫶🫶🫶🫶🫶']","['baguss', 'dan', 'iklannya', 'dikit', 'makasih', 'duooo🫶🫶🫶🫶🫶']","['baguss', 'dan', 'iklannya', 'dikit', 'makasih', 'duooo🫶🫶🫶🫶🫶']","['bagus', 'dan', 'iklannya', 'dikit', 'makasih', 'duooo🫶🫶🫶🫶🫶']","['bagus', 'iklannya', 'dikit', 'makasih', 'duooo🫶🫶🫶🫶🫶']","['bagus', 'iklan', 'dikit', 'makasih', 'duooo']","['bagus', 'iklan', 'dikit', 'makasih', 'duooo']"
Duolingo,kamil akbar1118,5,bagus sangat membantu saya belajar bahasa inggris,0,10/10/2025,bagus sangat membantu saya belajar bahasa inggris,"['bagus', 'sangat', 'membantu', 'saya', 'belajar', 'bahasa', 'inggris']","['bagus', 'sangat', 'membantu', 'saya', 'belajar', 'bahasa', 'inggris']","['bagus', 'sangat', 'membantu', 'saya', 'belajar', 'bahasa', 'inggris']","['bagus', 'sangat', 'membantu', 'saya', 'belajar', 'bahasa', 'inggris']","['bagus', 'membantu', 'belajar', 'bahasa', 'inggris']","['bagus', 'bantu', 'ajar', 'bahasa', 'inggris']","['bagus', 'bantu', 'ajar', 'bahasa', 'inggris']"
Duolingo,Ferdian dani prasetiya,5,sangat membantu pertahankan😁😁,0,10/10/2025,sangat membantu pertahankan😁😁,"['sangat', 'membantu', 'pertahankan😁😁']","['sangat', 'membantu', 'pertahankan😁😁']","['sangat', 'membantu', 'pertahankan😁😁']","['sangat', 'membantu', 'pertahankan😁😁']","['membantu', 'pertahankan😁😁']","['bantu', 'tahan']","['bantu', 'tahan']"
Duolingo,Lhyzz,5,Bagus bangett,0,10/10/2025,bagus bangett,"['bagus', 'bangett']","['bagus', 'bangett']","['bagus', 'bangett']","['bagus', 'banget']","['bagus', 'banget']","['bagus', 'banget']","['bagus', 'banget']"
Duolingo,Zahrani Maraqonita,2,"perbaiki duolingo saya! saat menyelesaikan pelajaran tidak ada suaranya, perbaiki SECEPATNYA!",0,10/10/2025,"perbaiki duolingo saya! saat menyelesaikan pelajaran tidak ada suaranya, perbaiki secepatnya!","['perbaiki', 'duolingo', 'saya', '!', 'saat', 'menyelesaikan', 'pelajaran', 'tidak', 'ada', 'suaranya', ',', 'perbaiki', 'secepatnya', '!']","['perbaiki', 'duolingo', 'saya', '', 'saat', 'menyelesaikan', 'pelajaran', 'tidak', 'ada', 'suaranya', '', 'perbaiki', 'secepatnya', '']","['perbaiki', 'duolingo', 'saya', '', 'saat', 'menyelesaikan', 'pelajaran', 'tidak', 'ada', 'suaranya', '', 'perbaiki', 'secepatnya', '']","['perbaiki', 'duolingo', 'saya', '', 'saat', 'menyelesaikan', 'pelajaran', 'tidak', 'ada', 'suaranya', '', 'perbaiki', 'secepatnya', '']","['perbaiki', 'duolingo', '', 'menyelesaikan', 'pelajaran', 'suaranya', '', 'perbaiki', 'secepatnya', '']","['baik', 'duolingo', '', 'selesai', 'ajar', 'suara', '', 'baik', 'cepat', '']","['baik', 'selesai', 'ajar', 'suara', 'baik', 'cepat']"
