app_name,rating,review,preprocessed_text,tf-idf_Logistic Regression,transformers_sentiment
Duolingo,2,seru dan bisa bikin saya lancar bahasa Inggris seperti hari monday tuesday Wednesday tursday Saturday Sunday saya suka duolingo,seru bikin lancar bahasa inggris monday tuesday wednesday tursday saturday sunday suka,Positif,Negatif
Duolingo,5,puas bgt belajar di sini keren belajar sambil bermain,puas banget ajar keren ajar main,Positif,Negatif
Duolingo,5,aku baru belajar 2 hari dan langsung tau bahasa sehari hari!!,ajar langsung tau bahasa hari,Positif,Negatif
Duolingo,4,sangat baik dan sangat membantu tapi yang paling bikin sebel kalo pas lagi belajar harus ngisi energi,bantu bikin sebel kalo sesuai ajar ngisi energi,Positif,Negatif
Duolingo,4,bagus aku suka,bagus suka,Positif,Negatif
Duolingo,5,aplikasi nya aku suka dan bisa aku semangat,aplikasi suka semangat,Positif,Negatif
Duolingo,1,game ini sangat seru dan membuat saya di sekolah peringkat dua,game seru sekolah peringkat,Positif,Positif
Duolingo,5,"Bagus bisa belajar sesuai apa yg kita mau belajar seperti bahasa inggris , korea dll.",bagus ajar sesuai ajar bahasa inggris korea dll,Positif,Negatif
Duolingo,5,baik dalam menambah wawasan,tambah wawas,Negatif,Negatif
Duolingo,5,SERUUUU,seru,Positif,Positif
Duolingo,5,Duolingo sangat amat seru dan juga saya senang memainkan Duolingo,seru senang main,Positif,Positif
Duolingo,5,ini sangat bagus dan menyenangkan,bagus senang,Positif,Negatif
Duolingo,5,Baguss bangedd,bagus banget,Positif,Negatif
Duolingo,5,bagus banget,bagus banget,Positif,Negatif
Duolingo,5,bagusss banget,bagus banget,Positif,Negatif
Duolingo,5,pajarannya seru seru dan menarik untuk di pelajari,ajar seru seru tarik ajar,Positif,Negatif
Duolingo,5,"saya suka,saya pintar bahasa Inggris dari aplikasi ini",suka pintar bahasa inggris aplikasi,Positif,Negatif
Duolingo,5,"bagus banget bisa belajar semua kursus aku jadi bisa matematika dan bahasa inggris,pokoknya Duolingo paling baguss deh!!",bagus banget ajar kursus matematika bahasa inggris pokok bagus,Positif,Negatif
Duolingo,5,"ini lumayan sih buat belajar bahasa, terus bisa luangin waktu pas mau belajar bahasa daripada nunggu ke sekolah ðŸ™‚ðŸ‘",lumayan ajar bahasa luangin sesuai ajar bahasa nunggu sekolah,Positif,Negatif
Duolingo,5,selalu bagus aplikasinya,bagus aplikasi,Positif,Negatif
Duolingo,5,"assalamualaikum.Hallo nama saya lintang wa hyu prihatini.putri Anak sulung pertama Bu Nung(Siti sutichah)faseh sudah bisa bahasa Inggris mulai sejak kecil mulai sekolah SD,sampai remaja SMP dan SMA.jadi sampai sekarang mahir.saya kasih bintang 5 karena mencapai juara 1 ðŸ†peringkat ðŸ¥‡ sekarang menjadi juara 3 peringkatðŸ¥‰dapat nilai ðŸ’¯. lalu peringkat 3ðŸ¥‰dan berusaha mulai nol ada kesalahan Terima kasihðŸ˜ŒðŸ™.wasalamualaikum.",assalamualaikumhallo nama lintang wahyu prihatiniputri anak sulung nung siti sutichah faseh bahasa inggris sekolah remaja smp smajadi mahirsaya kasih bintang capai juara peringkat juara peringkat dapat nilai peringkat 3 dan usaha nol salah terima kasih wasalamualaikum,Negatif,Negatif
Duolingo,5,mantappp,mantap,Negatif,Positif
Duolingo,5,sehari dah hafal banyak hal,hari hafal,Negatif,Positif
Duolingo,5,bagus otak ku jadi pintar,bagus otak pintar,Positif,Negatif
Duolingo,5,bagus untuk belajar,bagus ajar,Positif,Negatif
Duolingo,5,duolingo ini sangat bagus dan bikin saya bisa bahasa Inggris secepatnyaðŸ¤©ðŸ¤©,bagus bikin bahasa inggris cepat,Positif,Negatif
Duolingo,5,bagus bangett,bagus banget,Positif,Negatif
Duolingo,4,mengapa untuk penutur bahasa Indonesia tidak ada kursus catur?,tutur bahasa indonesia kursus catur,Negatif,Negatif
Duolingo,5,sangat berguna untuk belajar bahasaðŸ¥°ðŸ¥°ðŸ¥°,guna ajar bahasa,Positif,Negatif
Duolingo,5,"Alhamdulillah, saya memakai aplikasi ini sangat membantu untuk belajar bahasa inggris.",alhamdulillah pakai aplikasi bantu ajar bahasa inggris,Positif,Negatif
Duolingo,5,bagus. aku SYUKAK,bagus suka,Positif,Negatif
Duolingo,5,sangat membantu love you banget sama aplikasi nya,bantu love you banget aplikasi,Positif,Positif
Duolingo,5,good apps,bagus aplikasi,Positif,Negatif
Duolingo,5,bagus untuk yang mau belajar bahasa disini dan tidak terlalu sulit untuk memahami nya,bagus ajar bahasa sulit paham,Positif,Negatif
Duolingo,5,sungguh bisa buat belajar online sampai kita bisa bahasa Jepang,sungguh ajar online bahasa jepang,Positif,Negatif
Duolingo,5,bagus,bagus,Positif,Negatif
Duolingo,5,ini bagus,bagus,Positif,Negatif
Duolingo,5,aplikasi ini sangat membantu untuk pembelajaran ku di sekolah sekarang aku sudah lebih baik di inggris,aplikasi bantu ajar sekolah inggris,Positif,Negatif
Duolingo,5,sangat bagus untuk belajar bahasa apapun,bagus ajar bahasa,Positif,Negatif
Duolingo,5,gamenya sangat baru buat yang mau belajar bahasa Inggris,gamenya ajar bahasa inggris,Positif,Negatif
Duolingo,5,"ini benar benar bagus,saya belajar bahasa china jadi lancar kan aplikasi ini!",bagus ajar bahasa china lancar aplikasi,Positif,Negatif
Duolingo,5,berrgunaa bgttt plllssss,berrgunaa banget plis,Positif,Negatif
Duolingo,5,"game ini mengajari kami agar menjadi teladan, bijak dan pintar",game ajar teladan bijak pintar,Negatif,Negatif
Duolingo,5,keren kau burung bisa melatih skil berbahasa yang baik,keren kau burung latih skil bahasa,Positif,Negatif
Duolingo,5,sangat bagus,bagus,Positif,Negatif
Duolingo,5,belajar bahasa sangat menyenangkan di duolingo,ajar bahasa senang,Positif,Positif
Duolingo,5,"salam dari Medan. jujur duolingo baik banget, mau ngasih aplikasi gratis untuk pemula bahasa inggris. semoga Allah berikan makin sukses ya semua nyaaa. amiin recommended banget",salam medan jujur banget ngasih aplikasi gratis mula bahasa inggris moga allah sukses amiin recommended banget,Positif,Positif
Duolingo,5,karena apk ini aku sekarang bisa bahasa Inggris and Mandarin karena keperluan pekerjaan thankyou Duolingo i like you,aplikasi bahasa inggris and mandarin perlu kerja thankyou like you,Negatif,Positif
Duolingo,5,seru sih...,seru,Positif,Positif
Duolingo,5,sangat baik untuk belajar BHS inggris,ajar bahasa inggris,Positif,Negatif
Duolingo,5,sangat bagus aku jadi semangat belajar bahasa inggirs,bagus semangat ajar bahasa inggris,Positif,Negatif
Duolingo,5,"Aplikasi yang cocok banget untuk belajar, level belajarnya disesuaikan dengan kemampuan tiap orang, seperti lagi main aja tapi nambah ilmu",aplikasi cocok banget ajar level ajar sesuai mampu orang main nambah ilmu,Positif,Negatif
Duolingo,5,ini sangat membantu saya untuk belajar dan menambah pengetahuan tentang beberapa bahasa yg saya senangiðŸ’žðŸ’ž,bantu ajar tambah tahu bahasa senang,Positif,Negatif
Duolingo,5,sangat mendidik dan mendukung anak dalam belajar bahasa Inggris,didik dukung anak ajar bahasa inggris,Positif,Negatif
Duolingo,5,cocok banget buat belajar bahasa,cocok banget ajar bahasa,Positif,Negatif
Duolingo,5,kita udah di ajarkan bahasa inggris,ajar bahasa inggris,Positif,Negatif
Duolingo,5,aplikasinya mantap..!,aplikasi mantap,Negatif,Positif
Duolingo,5,goodddd bangettt,good banget,Positif,Positif
Duolingo,5,suka banget. tapi pengen ada bahasa arab juga. mungkin next bisa di kasih bahasa arab ya min. terima kasih,suka banget ken bahasa arab next kasih bahasa arab min terima kasih,Positif,Negatif
Duolingo,5,aplikasi ini benar benar bikin saya kagum karna aplikasi ini mengajar bahasa apapun seperti bahasa jepang,aplikasi bikin kagum aplikasi ajar bahasa bahasa jepang,Positif,Negatif
Duolingo,5,bagus banget untuk yang mau blajar,bagus banget ajar,Positif,Negatif
Duolingo,5,sangat membantu untuk segala hal bahasa aku suka ðŸ‘,bantu bahasa suka,Positif,Negatif
Duolingo,5,"sangat bagus dan dapat bermanfaat dan bisa belajar bahasa yang lain juga dan dapat belajar mtk dan musik , POKOKNYA SERU POLLLL",bagus manfaat ajar bahasa ajar mtk musik pokok seru pollll,Positif,Negatif
Duolingo,5,very good apps,very bagus aplikasi,Positif,Negatif
Duolingo,5,sangat bermanfaat,manfaat,Negatif,Negatif
Duolingo,5,seru,seru,Positif,Positif
Duolingo,5,Aplikasi ini cocok sekali untuk kalian yang ingin mempelajari bahasa baru!ðŸ”¥,aplikasi cocok ajar bahasa,Positif,Negatif
Duolingo,4,sangat membantu dalam belajar berbagai bahasa mulai dari 0,bantu ajar bahasa,Positif,Negatif
Duolingo,5,Bagus bisa mudah untuk menghafal,bagus mudah hafal,Positif,Negatif
Duolingo,5,bagus sgt membantu,bagus bantu,Positif,Negatif
Duolingo,5,bagus aku jadi bisa bicara bahasa Jepang Korea dan Inggris,bagus bicara bahasa jepang korea inggris,Positif,Negatif
Duolingo,5,terimakasih atas langganan gratisnya selama sebulan itu sangat membantu,terimakasih langgan gratis bulan bantu,Negatif,Negatif
Duolingo,5,sangat baik untuk meningkatkan saya untuk belajar dan duolingo ini seperti manusia juga suka marah bila saya terlambat pokok nya yang harus belajar sama duolingo ini sampai saya lancar berbahasa Inggris dengan baik,tingkat ajar manusia suka marah lambat pokok ajar lancar bahasa inggris,Positif,Negatif
Duolingo,5,"bantu gw banget buat belajar bahasa lain, gg pokonamah",bantu banget ajar bahasa pokonamah,Positif,Negatif
Duolingo,5,bagus ðŸ‘ ada nya duolingo aku makin mengerti bhs Inggris,bagus erti bahasa inggris,Positif,Negatif
Duolingo,5,bagus,bagus,Positif,Negatif
Duolingo,5,keren,keren,Positif,Positif
Duolingo,5,belajar nya santai,ajar santai,Positif,Positif
Duolingo,5,saya senang sekali belajar di duolingo,senang ajar,Positif,Positif
Duolingo,5,"saya sangat suka aplikasi ini, saya bisa belajar beberapa kursus yang pastinya mudah dipahami, tapi di tengah tengah saya bermain, energinya habis, jadi harus balik ke awal lagi, tapi nggak apa apa kok",suka aplikasi ajar kursus pasti mudah paham main energi habis,Positif,Negatif
Duolingo,5,terbaik,baik,Negatif,Positif
Duolingo,5,bagus untuk memulai belajar b inggris,bagus ajar inggris,Positif,Negatif
Duolingo,5,bagus bangett ! Aku belajar bahasa jepang disini dann.. AKU BISA NONTON ANIME TANPA SUBTITLE ! ^â—‹^,bagus banget ajar bahasa jepang nonton anime subtitle,Positif,Negatif
Duolingo,5,mantap,mantap,Negatif,Positif
Duolingo,5,sangat membantu untuk belajar bahasa,bantu ajar bahasa,Positif,Negatif
Duolingo,5,"aplikasi favorit banget aku nih karena apa? aplikasi ini dapat belajar bahasa Inggris/bahasa lainnya, aplikasi ini juga simple hanya membutuhkan rutinitas yang setiap harinya, kuota dan energi Awalnya ragu untuk pake aplikasi ini tapi sejak nyobain malah bikin aku ketagihan! ðŸ˜‹ aku jadi lebih paham dan mengerti bahasa Inggris ðŸ¤©ðŸ¤©",aplikasi favorit banget aplikasi ajar bahasa inggrisbahasa aplikasi simple butuh rutinitas hari kuota energi ragu pakai aplikasi nyobain bikin tagih paham erti bahasa inggris,Positif,Negatif
Duolingo,5,aplikasi yng bagus,aplikasi bagus,Positif,Negatif
Duolingo,4,mantap lumayan membantu,mantap lumayan bantu,Positif,Negatif
Duolingo,5,Kenapa sekarang nambah hati nya gabisa make latihannnn????????????,nambah hati tidak bisa make latih,Negatif,Negatif
Duolingo,5,seru,seru,Positif,Positif
Duolingo,5,"Duolingo ini sangat bagus,dan sangat membantu saya buat belajar bahasa,dan saya udah lumayan banyak bisa bahasa nya,rekomendasi banget sih apk Duolingo ini",bagus bantu ajar bahasa lumayan bahasa rekomendasi banget aplikasi,Positif,Negatif
Duolingo,5,bgs bisa melatih kita ayo segera download,bagus latih ayo download,Negatif,Positif
Duolingo,5,aku udah sedikit lancar berbahasa Inggris jadi aku bisa berbicara kepada bule inggris eh eh eh ðŸ˜…ðŸ˜…,lancar bahasa inggris bicara bule inggris,Positif,Negatif
Duolingo,5,game ini sangat bagus untuk sayaðŸ‘,game bagus saya,Positif,Negatif
Duolingo,5,bagussss,bagus,Positif,Negatif
Duolingo,4,aku jadi lebih pintar,pintar,Negatif,Positif
Duolingo,5,"jadi mudah paham bahasa inggris,soalnya aku gak bisa bahasa inggris ðŸ˜”",mudah paham bahasa inggris bahasa inggris,Positif,Negatif
Duolingo,5,sangat bagus,bagus,Positif,Negatif
Duolingo,5,sangat membantu saya dalam penghafalan bahasa inggris,bantu hafal bahasa inggris,Positif,Negatif
Duolingo,5,mantappp,mantap,Negatif,Positif
Duolingo,4,bagus,bagus,Positif,Negatif
Duolingo,5,ASIK IH,asik,Negatif,Positif
Duolingo,5,so amazing,amazing,Negatif,Positif
Duolingo,5,oke saja,oke,Negatif,Positif
Duolingo,5,ini bisa mengajari kalian lebih cepat menguasai kosakata bagi yang pemula dan lebih menyenangkan karena ini bukan belajar yang nyiksa gitu,ajar cepat kuasa kosakata mula senang ajar nyiksa gitu,Positif,Negatif
Duolingo,5,cukup membantu,bantu,Positif,Negatif
Duolingo,5,aplikasi belanja yang bagus dan lucu,aplikasi belanja bagus lucu,Positif,Negatif
Duolingo,5,ini bisa untuk jadi cerdas,cerdas,Negatif,Positif
Duolingo,5,aplikasi ini sangat bagus,aplikasi bagus,Positif,Negatif
Duolingo,5,karna bisa mengajarkan saya berbahasa inggris dengan lancar,ajar bahasa inggris lancar,Positif,Positif
Duolingo,5,seruuu,seru,Positif,Positif
Duolingo,5,lebih mudah,mudah,Positif,Negatif
Duolingo,5,ini bikin saya pintar dan boleh di main kan wow kamu keren duolingo,bikin pintar main wow keren,Positif,Positif
Duolingo,5,karena bikin saya tau semua tentang bahasa inggris dari sebelum nye gak pandai jadi pandaiðŸ˜ðŸ˜ðŸ˜,bikin tau bahasa inggris nye pandai pandai,Positif,Negatif
Duolingo,5,saya mulai bisa berbahasa Inggris sejak menggunakan Duolingo ðŸ˜ŠðŸ˜Š,bahasa inggris,Positif,Positif
Duolingo,5,bagus untuk belajar bahasa apapun!!,bagus ajar bahasa,Positif,Negatif
Duolingo,5,sangat bagus,bagus,Positif,Negatif
Duolingo,5,"aplikasi ini sangat membantuku untuk belajar bahasa asing, salah satunya bahasa jepang... karena, bahasa jepang ada di sekolah ku, jadi selain belajar di sekolah, aku juga bisa belajar di hp... makasih duolingo udah membantu tentang pengetahuan kosakata bahasa asing",aplikasi bantu ajar bahasa asing salah satu bahasa jepang bahasa jepang sekolah ajar sekolah ajar makasih bantu tahu kosakata bahasa asing,Positif,Negatif
Duolingo,5,duolingo sangat bagus! aku menyukai duolingoðŸ«¶ðŸ«¶,bagus suka,Positif,Negatif
Duolingo,5,bagus,bagus,Positif,Negatif
Duolingo,5,membantu,bantu,Positif,Negatif
Duolingo,5,bagus,bagus,Positif,Negatif
Duolingo,5,baguss,bagus,Positif,Negatif
Duolingo,5,bisa belajar sekaligus bermain,ajar main,Positif,Positif
Duolingo,5,bagus buat belajar,bagus ajar,Positif,Negatif
Duolingo,5,sangat bagus,bagus,Positif,Negatif
Duolingo,5,good,bagus,Positif,Negatif
Duolingo,5,bagus buat yang belum bisa bahasa inggris Korea dan lainnya makasih duolingo bagus banget buat belajar mau dimana saja tetap ada duolingo belajar setiap hari aja bisa tanpa bayar dan juga bisa buat cerdas dan ada juga MTK atau (matematika) pokoknya harus sering belajar setiap hari deh,bagus bahasa inggris korea makasih bagus banget ajar mana ajar bayar cerdas mtk matematika pokok ajar,Positif,Negatif
Duolingo,5,bagus banget ðŸ’«,bagus banget,Positif,Negatif
Duolingo,5,Duolingo sangat menyenangkan aku sangat suka,senang suka,Positif,Positif
Duolingo,4,"Karena blm mengajarkan sy cara membaca alfabet dan kosakata dan masih bnyk lagi yg harus diajarkan karna sy betul"" pemula dlm berbahasa inggris sy blm pandai mengucapkan atau membaca alfabet dlm bahasa inggris sy tolong ajarkan dgn baikðŸ˜ŠðŸ˜ŠðŸ˜Š",ajar baca alfabet kosakata ajar mula bahasa inggris pandai baca alfabet bahasa inggris tolong ajar baik,Positif,Negatif
Duolingo,5,seruu,seru,Positif,Positif
Duolingo,5,pelarangan ini sangat seru,larang seru,Positif,Positif
Duolingo,5,apk nya seru bangeet gampang belajar pake ini pokonya apk nya seru bangett,aplikasi seru bangeet gampang ajar pakai poko aplikasi seru banget,Positif,Negatif
Duolingo,5,duolingo is good,bagus,Positif,Negatif
Duolingo,4,Saya Suka Belajar Di Duolingo Dan lebih mudah Belajar Tapi kok ada Energi Bikin terbatas Belajar 25 Energi,suka ajar mudah ajar energi bikin batas ajar energi,Positif,Negatif
Duolingo,5,mantap,mantap,Negatif,Positif
Duolingo,5,App nya bagus + bisa belajar sambil main,aplikasi bagus ajar main,Positif,Negatif
Duolingo,5,sangat bguss dan mudah untuk menghapal berbagai bhs,bguss mudah menghapal bahasa,Positif,Negatif
Duolingo,5,Sangan membantu saya belajar bahasa asing,bantu ajar bahasa asing,Positif,Negatif
Duolingo,4,"baguss bgt, membantu. tp kenapa di bagian percakapan kaya cerita gitu, selalu lesbian ya? ðŸ˜­",bagus banget bantu cakap kaya cerita gitu lesbian,Positif,Negatif
Duolingo,5,pelajarannya sangat bagus buat melatih anakðŸ˜„ðŸ˜„ðŸ˜„ðŸ˜„,ajar bagus latih anak,Positif,Negatif
Duolingo,5,ok sangat membantu semakin bervariasi pertanyaannya,oke bantu variasi tanya,Positif,Negatif
Duolingo,5,duo linggoini sangat cocok untuk semua umur i love duolingo,duo linggoini cocok umur love,Negatif,Positif
Duolingo,5,disini saya lebih bisa berbahasa b.inggris kalau kosisten tiap hari latihan terus dan mau belajar dengan giat pasti ada hasilnya,bahasa binggris kosisten latih ajar giat hasil,Positif,Negatif
Duolingo,5,anak saya senang ketika belajar di duolingo....,anak senang ajar,Negatif,Positif
Duolingo,5,jadi semangat belajarðŸ˜Š,semangat ajar,Positif,Positif
Duolingo,4,lumayan,lumayan,Negatif,Positif
Duolingo,5,very nice,very bagus,Positif,Negatif
Duolingo,5,Game ini sangat menyenangkan dan bermanfaat dlm berlatih bahasa asing Terima kasih Duolingo,game senang manfaat latih bahasa asing terima kasih,Positif,Negatif
Duolingo,5,bagus,bagus,Positif,Negatif
Duolingo,5,Sangat berguna,guna,Positif,Negatif
Duolingo,5,bisa pengen saingan sama temen yang belajar di sini belajar Jepang jadi nta aku mau Korea aja,ken saing temen ajar ajar jepang ntar korea,Positif,Negatif
Duolingo,5,aku sangat suka berkembang lah,suka kembang,Positif,Positif
Duolingo,5,aplikasi nya bagus tapi gue saranin untuk memperbanyak game game nya jangan banyak di soal tapi di permainan lain juga agar tidak bosan menurut saya itu saja,aplikasi bagus saranin banyak game gamenya main bosan,Positif,Negatif
Duolingo,4,"bagus poll, tapi tapi tapi",bagus poll,Positif,Negatif
Duolingo,5,makasih Duolingo aku belajar sangat banyak kosa kata dan bisa memahami banyak bahasaðŸ‘ðŸ»ðŸ‘ðŸ»,makasih ajar kosa paham bahasa,Positif,Negatif
Duolingo,5,Aku suka banget mana karakter nya imut imut lagiðŸ˜­,suka banget karakter imut imut lagi,Positif,Negatif
Duolingo,5,good,bagus,Positif,Negatif
Duolingo,5,seru dan baguss bgt,seru bagus banget,Positif,Negatif
Duolingo,5,baguuusss bangetðŸ˜†ðŸ—¿ðŸ‘Š,bagus banget,Positif,Negatif
Duolingo,5,"sangat baguss, apalagi aku yang sedang mau bekerja di restoran Jepang yaitu bistro jurer yang sekarang namanya diganti jadi paty cafe. aamiin",bagus restoran jepang bistro jurer nama ganti paty cafe aamiin,Positif,Negatif
Duolingo,5,gamenya bagus gak ada sponsor nya jadi aku setiap hari aku belajar bahasa inggris,gamenya bagus sponsor ajar bahasa inggris,Positif,Negatif
Duolingo,5,bagus,bagus,Positif,Negatif
Duolingo,5,ini sangat sangat berguna untuk pemula yang baru belajar b.inggris semangat terus duolingo,guna mula ajar binggris semangat,Positif,Negatif
Duolingo,5,bagus dan aku jadi bisa bahasa Inggris thank you duolingo,bagus bahasa inggris thank you,Positif,Positif
Duolingo,5,aku suka belajar sama duolingo,suka ajar,Positif,Positif
Duolingo,5,seruu karna duolingo aku bisa bahasa inggrisðŸ˜µâ€ðŸ’«â¤ï¸,seru bahasa inggris,Positif,Positif
Duolingo,4,so good,bagus,Positif,Negatif
Duolingo,5,karena untuk belajar bahasa,ajar bahasa,Positif,Positif
Duolingo,5,Duolingo sangat bagus dan dapan di main kan kaban aja aku punya satu permintaan 2026 apakah duolingo bakalan update,bagus main kaban minta update,Positif,Negatif
Duolingo,5,bagus dan membantu,bagus bantu,Positif,Negatif
Duolingo,5,seru banget deh,seru banget,Positif,Positif
Duolingo,5,nilai bahasa inggris ku bertambah,nilai bahasa inggris tambah,Positif,Positif
Duolingo,5,aplikasi ini sangat seru sekali . . . . . . .... .. .. .. . . . . . . . . . . . . . . . . . . . . .,aplikasi seru,Positif,Positif
Duolingo,5,Duolingo membantu kita untuk mengasah kemampuan bahasa inggris kita pokoknya best bangetlah sma duolingo. Terimaksih Duolingo,bantu asah mampu bahasa inggris pokok best banget sma terimaksih,Positif,Negatif
Duolingo,5,aku suka baget karna aplikasi ini saya bisa bahasa jepan,suka baget aplikasi bahasa jepan,Positif,Negatif
Duolingo,5,"pembelajaran nya seru banget, saya suka belajar di Duolingo, terimakasih sudah membuat aplikasi Duolingo",ajar seru banget suka ajar terimakasih aplikasi,Positif,Negatif
Duolingo,5,bagus banget buat yang mau belajar bahasa atau mau liburan tapi ga tau bahasa nyaaðŸ˜–ðŸ˜–,bagus banget ajar bahasa libur tau bahasa nyaa,Positif,Negatif
Duolingo,5,Aplikasi nya bagus jadi aku kasih bintang 5,aplikasi bagus kasih bintang,Positif,Positif
Duolingo,5,apk nya bagus ðŸ¤­,aplikasi bagus,Positif,Negatif
Duolingo,5,Bagus untuk belajar bahasa inggris,bagus ajar bahasa inggris,Positif,Negatif
Duolingo,4,bermanfaat sekali untuk saya..ðŸ‘ðŸ’¯,manfaat,Negatif,Negatif
Duolingo,5,ini bagus sekali aku aku jadi dapat cepat memahami bahasa nya dan itu aku tulis di buku supaya aku bisa lebih mengerti seneng deh rasanya terimakasih duolingo,bagus cepat paham bahasa tulis buku erti neng terimakasih,Positif,Negatif
Duolingo,5,aku bisa belajar di rumah karna ada duolinggo terimakasih yaa duolinggo aku bisa pintar sekarang!,ajar rumah duolinggo terimakasih duolinggo pintar,Negatif,Negatif
Duolingo,5,good,bagus,Positif,Negatif
Duolingo,5,cukup bagus untk bljr,bagus untk ajar,Positif,Negatif
Duolingo,5,game ini sangat membantu saya mengerti dan memahami,game bantu erti paham,Positif,Negatif
Duolingo,5,bagus banget ðŸ¥´ðŸ˜¶â€ðŸŒ«ï¸,bagus banget,Positif,Negatif
Duolingo,5,gara-gara aplikasi ini aku bisa bahasa cina dengan mudah lop deh buat yang buat aplikasi nya,garagara aplikasi bahasa cina mudah lop aplikasi,Positif,Negatif
Duolingo,5,bagus pelajarannya alhamdulillah bisa kebantu banget dengan duolingo,bagus ajar alhamdulillah bantu banget,Positif,Negatif
