app_name,rating,review,preprocessed_text,Label
Busuu,5,"Aplikasi ini sangat bagus untuk kita belajar berbagai bahasa dan cara penyebutannya,jujur seneng banget pas ketemu aplikasi ini karna aku bisa lanjutin mimpi aku buat belajar bahasa jepang sampai bisa, makasih buat developer nyaðŸ’",aplikasi bagus ajar bahasa sebut jujur neng banget sesuai ketemu aplikasi lanjutin mimpi ajar bahasa jepang makasih developer,Positif
Busuu,5,aplikasi nya bagus buat belajar bahasa yang mau dipelajari,aplikasi bagus ajar bahasa ajar,Positif
Busuu,4,sangat membantu dan di samping itu lengkap dengan penjelasannya,bantu samping lengkap jelas,Positif
Busuu,5,"Baguss bgt dripada apk sebelahhh, penjelasannya mudah dipahami juga!!â¤ï¸ðŸ‘Œ",bagus banget dripada aplikasi sebelah jelas mudah paham,Positif
Busuu,5,it's so good ia membuatku bisa bahasa inggris,bagus buat bahasa inggris,Positif
Busuu,5,"kerennnnn, 3S , santay, simpel, suka.",keren santai simpel suka,Positif
Busuu,5,apk nya bagus banget,aplikasi bagus banget,Positif
Busuu,5,untuk learning nya udh bagus bnget. setiap pelajarannya sangat fantastis.,learning bagus bnget ajar fantastis,Positif
Busuu,5,sangat membantu untuk belajar bahasa Inggris dengan baik dan mudah di pahami. terimakasih,bantu ajar bahasa inggris mudah paham terimakasih,Positif
Busuu,4,bagus bgt ini jadi bisa belajar bahasa Jepang ðŸ¤©,bagus banget ajar bahasa jepang,Positif
Busuu,5,menarik wajib coba sih buat pemula,tarik wajib coba mula,Positif
Busuu,5,"jujur ini lebih bagus dari duolingo, ada penjelasan dan ada beberapa fitur yang di sediakan oleh duolingo yang ada di sini, yang membuat saya bisa beradaptasi dan betah menggunakan aplikasi ini. dan yang lebih penting tidak ada propaganda LGBT ðŸ˜„",jujur bagus jelas fitur sedia adaptasi betah aplikasi propaganda lgbt,Positif
Busuu,5,"ini aplikasi benar benar membantu buat orang yang ingin mempelajari bahasa asing, kek gw contohnya lagi belajar bahasa rusia, disini selain disuruh menjawab layaknya quiz lu juga bakal dijelasin kata kata itu digunainnya pas kapan, pokoknya rekomen banget nih apk, dari pada apk burung ijo yang lu cuma di ajarin cara ngomong ""aku minum susu""",aplikasi bantu orang ajar bahasa asing contoh ajar bahasa rusia suruh layak quiz dijelasin digunainnya sesuai pokok rekomen banget aplikasi aplikasi burung ijo ajarin ngomong minum susu,Positif
Busuu,5,bagusss bangett!!!! senang banget tau ada aplikasi yang bagus banget buat belajar bahasa Inggris,bagus banget senang banget tau aplikasi bagus banget ajar bahasa inggris,Positif
Busuu,5,keren gua bisa belajar bahasa Perancis,keren ajar bahasa perancis,Positif
Busuu,5,Aplikasi sangat menyenangkan dan mempermudah belajar bahasa â¤ï¸â¤ï¸â¤ï¸,aplikasi senang mudah ajar bahasa,Positif
Busuu,5,baguss bgt sgtÂ² membantuuðŸ¤©ðŸ«¶ðŸ»ðŸ«¶ðŸ»,bagus banget sangat bantu,Positif
Busuu,5,sangat membantu buat pemula kaya saya,bantu mula kaya,Positif
Busuu,5,"bagus banget, kalo awal kita di kasih tau level bahasa inggris kita bagaimana mana pemula kah atau sudah ngerti dikit maka nanti materinya sesuai dengan level yg kita bisa dan ada penjelasan nya juga rekomendasi banget",bagus banget kalo kasih tau level bahasa inggris mula kah erti dikit materi sesuai level jelas rekomendasi banget,Positif
Busuu,5,"bagus,cuma ada yg harus bayar, worth it sih iya.",bagus bayar worth iya,Positif
Busuu,5,menurutku aplikasi ini sangat bagus dan bermanfaat dan membantu untuk siapa saja yang ingin belajar bakor khususnya latihan berbicara dan menulis..,turut aplikasi bagus manfaat bantu ajar bakor latih bicara tulis,Positif
Busuu,5,ini membuatnya lebih mudah dipahami,buat mudah paham,Positif
Busuu,5,"Aplikasi ini bagus menurut saya, karena kita belajar setiap hari namun dengan waktu singkat jadi anda bisa belajar dimana pun dan kapan pun tanpa perlu belajar terlalu lama yang menyebabkan susah konsisten. Bentuk pembelajaran menarik dengan penjelasan setiap kita menjawab soal test. Terima kasih dan Tetap Semangat!",aplikasi bagus ajar singkat ajar mana ajar sebab susah konsisten bentuk ajar tarik jelas test terima kasih semangat,Positif
Busuu,5,"wort it sih ini aplikasi nyaa, lu bayangin aja 12 bulan member itu cuman bayar 30rb doang apa yang gak untungnya ni aplikasi coba, pokoknya the best dahh â˜ðŸ»â˜ðŸ»",wort aplikasi nyaa bayangin member bayar 30rb doang untung aplikasi coba pokok the best dahh,Positif
HelloTalk,5,seru banget jadi banyak temen dari luar negri senengg bangett,seru banget temen negeri senengg banget,Positif
HelloTalk,4,"Aplikasinya lumayan bagus, dari sini saya bisa mendapatkan teman online ðŸ¤­ðŸ¤­",aplikasi lumayan bagus teman online,Positif
HelloTalk,5,Sangat bagus aplikasi ini. Bahkan saya sudah bertemu dengan orang nya secara langsung,bagus aplikasi temu orang langsung,Positif
HelloTalk,5,Saya sangat senang karena saya bisa ngobrol sama orang asing sambil belajar bahasa yang saya mau belajar,senang obrol orang asing ajar bahasa ajar,Positif
HelloTalk,5,"Bagus banget. Gw bisa punya temen luar negeri, dari China dan Inggris, pokoknya bagus deh!!",bagus banget temen negeri china inggris pokok bagus,Positif
HelloTalk,5,Seruuu sumpah ini aplikasi banyak temen dari luar negeri pun banyak bisa belajar bahasa juga sama mereka the best dehhðŸ‘ðŸ‘,seru sumpah aplikasi temen negeri ajar bahasa the best dehh,Positif
HelloTalk,5,Mudah di pahami dan flexible,mudah paham flexible,Positif
HelloTalk,5,bagus membantu pembelajaran,bagus bantu ajar,Positif
HelloTalk,5,"Sangat bagus, saya mendapat teman luar negeri begitu cepat!",bagus teman negeri cepat,Positif
HelloTalk,5,seru banget bisa mengobrol bersama teman di berbagai negara,seru banget obrol teman negara,Positif
HelloTalk,5,bagus,bagus,Positif
HelloTalk,5,Sangat bagus aku mendapat banyak teman,bagus teman,Positif
HelloTalk,5,Sangat memuaskan dengan berbagai informasi,muas informasi,Positif
HelloTalk,5,aplikasinya sangat keren,aplikasi keren,Positif
HelloTalk,4,enak nyari temen belajar,enak cari temen ajar,Positif
HelloTalk,5,bagus banget aplikasinya saya suka banget hello talk,bagus banget aplikasi suka banget hello talk,Positif
HelloTalk,5,saya bisa bicara bersama org org luar nengri,bicara orang orang nengri,Positif
HelloTalk,5,Dapet temen Jepang baikðŸ˜­âœ¨,dapet temen jepang baik,Positif
HelloTalk,5,apk ini sangat bagus saya bisa mendapatkan teman asing,aplikasi bagus teman asing,Positif
HelloTalk,5,singkat padat jelas bintang 5,singkat padat bintang,Positif
HelloTalk,5,seru Nemu orang luar,seru nemu orang,Positif
HelloTalk,5,Bahasa Jepang ke upgrade karena apk ini keren,bahasa jepang upgrade aplikasi keren,Positif
HelloTalk,5,Bagusss tapi banyak orang china semuaaa tp bagussss punya teman luar negeri,bagus orang china semuaaa bagus teman negeri,Positif
HelloTalk,5,bisa belajar bahasa inggris dan punya teman manca negara. its so nice,ajar bahasa inggris teman manca negara its bagus,Positif
HelloTalk,5,Sangat bagus sekali dan benar-benar membantuku meningkatkan bahasa Inggrisku,bagus benarbenar bantu tingkat bahasa inggris,Positif
HelloTalk,5,aplikasinya sangat bagus,aplikasi bagus,Positif
HelloTalk,5,aplikasi ini bagus aku suka,aplikasi bagus suka,Positif
HelloTalk,5,aplikasi ini sangat bagus untuk praktek bahasa asing,aplikasi bagus praktek bahasa asing,Positif
HelloTalk,5,aplikasi ini sangat lah seru dan bisa mendapatkan banyak temen.dan juga bisa mendapatkan pacar orang luar negeri dan sahabat luar negeri dan juga temen luar negeri,aplikasi seru temendan pacar orang negeri sahabat negeri temen negeri,Positif
HelloTalk,5,Aplikasi nya sangat membantu untuk berkenalan dengan negara lainnn sangat bagusss,aplikasi bantu nal negara lainnn bagus,Positif
HelloTalk,5,"aplikasi yang sangat bagus , selain bisa dapat teman dari berbagai negara kita juga bisa meningkatkan kemampuan berbahasa Inggris",aplikasi bagus teman negara tingkat mampu bahasa inggris,Positif
HelloTalk,5,sangat baik dari apk yg pernah aku coba,aplikasi coba,Positif
HelloTalk,5,bagus banget kak aku bisa belajar bahasa asing khususnya bahasa mandarinðŸ“šðŸ‘ðŸ¤— semangat ðŸ”¥,bagus banget ajar bahasa asing bahasa mandarin semangat,Positif
HelloTalk,5,hello talk ini sangat seru dan kita bisa berteman di sosial media,hello talk seru teman sosial media,Positif
HelloTalk,5,bagus sie apk ini membantu bngt buat kita yg mau belajar bhasa asing,bagus sie aplikasi bantu banget ajar bhasa asing,Positif
Busuu,5,lebih mending daripada burung sebelah ðŸ˜,mending burung belah,Positif
Busuu,5,its cool,its keren,Positif
Busuu,5,lumayan,lumayan,Positif
Busuu,5,mudah dipahami dan sangat membantu saya dalam menguasai bahasa Korea,mudah paham bantu kuasa bahasa korea,Positif
Busuu,5,memudahkan untuk memahami banyak bahasa asing,mudah paham bahasa asing,Positif
Busuu,4,bagusðŸ˜…ðŸŒŸ,bagus,Positif
Busuu,5,"Bagus, atraktif",bagus atraktif,Positif
Busuu,5,sangat membantu untuk seseorang yang ingin sekali belajar bahasa asing apalagi ini belajarnya memang dari dasar banget,bantu ajar bahasa asing ajar dasar banget,Positif
Busuu,5,nice lah,bagus,Positif
Busuu,4,bagus banget,bagus banget,Positif
Busuu,4,untuk pemula bener bener bagus,mula bagus,Positif
Busuu,5,oke good,oke bagus,Positif
Busuu,5,sangat bagus,bagus,Positif
Busuu,5,"saya sangat terbantu dengan adanya busuu, belajar bahasa asing menjadi lebih mudah",bantu ajar bahasa asing mudah,Positif
Busuu,5,cool,keren,Positif
Busuu,5,membantu sekali wajib download,bantu wajib download,Positif
Busuu,5,bagus untuk belajar bahasa inggris tapi banyak iklannya jadi harus premium deh,bagus ajar bahasa inggris iklan premium,Positif
Busuu,5,good,bagus,Positif
Busuu,5,"pliss ini apk rekomeded banget, hwaa pingin nangis saking suka nyaðŸ˜­",pliss aplikasi rekomeded banget hwaa pingin nang saking suka,Positif
Busuu,5,"BAGUS BANGET BUAT BELAJAR BAHASA JERMAN, super duper mudah dipahami, langganan premium 1 tahun murah bangeeeettt, luuuvvv busuuuu,",bagus banget ajar bahasa jerman super duper mudah paham langgan premium murah bangeeeettt luuuvvv busuuuu,Positif
Busuu,5,"Tuhan masukan lah orang pencipta apk ke ini surga mu. dari banyak nya aok cmn satu ini yang ngajarin sampe akar akar nya bahkan hal sekecil apapun itu di jelasin semua nya ada contoh dan penjelasan nya saya sukaa dengan metode pengajaran nya, and buat akun premium nya juga msih terjangkau dan masih ramah di kantong pelajar",tuhan masuk orang cipta aplikasi surga aok cmn ngajarin sampe akar akar jelasin contoh jelas sukaa metode ajar and akun premium msih jangkau ramah kantong ajar,Positif
Busuu,5,ga bikin pusing plus simpel,bikin pusing plus simpel,Positif
Busuu,5,"keren banget buat yang pemula,,,jadi aplikasi seru banget deh kita bisa dengar cara bicara atau baca bahasa asingðŸ’—ðŸ’—",keren banget mula aplikasi seru banget dengar bicara baca bahasa asing,Positif
HelloTalk,5,aplikasi ini sangat bagus untuk praktek bahasa asing,aplikasi bagus praktek bahasa asing,Positif
HelloTalk,5,seruu Bangett,seru banget,Positif
HelloTalk,5,aplikasi ini sangat lah seru dan bisa mendapatkan banyak temen.dan juga bisa mendapatkan pacar orang luar negeri dan sahabat luar negeri dan juga temen luar negeri,aplikasi seru temendan pacar orang negeri sahabat negeri temen negeri,Positif
HelloTalk,5,Aplikasi nya sangat membantu untuk berkenalan dengan negara lainnn sangat bagusss,aplikasi bantu nal negara lainnn bagus,Positif
HelloTalk,5,sangat baik dari apk yg pernah aku coba,aplikasi coba,Positif
HelloTalk,5,bagus banget kak aku bisa belajar bahasa asing khususnya bahasa mandarinðŸ“šðŸ‘ðŸ¤— semangat ðŸ”¥,bagus banget ajar bahasa asing bahasa mandarin semangat,Positif
HelloTalk,5,sangat membantu,bantu,Positif
HelloTalk,1,bermanfaat,manfaat,Positif
HelloTalk,5,aku suka banget bisa chat an sama gege China,suka banget chat gege china,Positif
HelloTalk,5,suka banget karena bisa temenan sama orang luar negeri,suka banget temenan orang negeri,Positif
HelloTalk,5,"jujurr aplikasi ini lebih seru,dan bisa menjadi tempat kita belajar bahasa luar",jujurr aplikasi seru ajar bahasa,Positif
HelloTalk,5,baguss ih cuman waktu nya cuman setengah jam aja..butuh lebih lama pls tolong banget ini..,bagus jam butuh pls tolong banget,Positif
HelloTalk,5,saran doang nih ht buat fitur cerita dong kaya STORYS GITUUUU KAYA DI IG,saran doang fitur cerita kaya storys gituuuu kaya,Positif
HelloTalk,5,"apk paling buagus gacor, bikin gw banyak punya temen orang luar ðŸ¤­ðŸ‘",aplikasi buagus gacor bikin temen orang,Positif
HelloTalk,4,sangatttt membantuu ya kawan kawan,sangatttt membantuu kawan kawan,Positif
HelloTalk,5,applikasi nya bagus banget ðŸ˜,applikasi bagus banget,Positif
HelloTalk,5,"rekomen banget sih buat belajar sama berteman sama orang luar, disini kebanyakan anak muda jadi mempermudahkan kita berteman dengan orang seumuran",rekomen banget ajar teman orang banyak anak muda mudah teman orang umur,Positif
HelloTalk,5,mantap dan seru,mantap seru,Positif
HelloTalk,5,apk nya bagus tapi sering keluar sendiri ga tau knp,aplikasi bagus tau,Positif
HelloTalk,5,bagus,bagus,Positif
HelloTalk,5,bagus banget aplikasi nya,bagus banget aplikasi,Positif
HelloTalk,5,kerenn,keren,Positif
HelloTalk,5,saya mendapat teman china yang insya alloh tetap.,teman china insya alloh,Positif
HelloTalk,5,bagus kok pengguna juga ramah Â²,bagus guna ramah,Positif
HelloTalk,5,seruuuu dapet temen baru,seru dapet temen,Positif
HelloTalk,5,suka bangetttt berguna bangettt,suka bangetttt guna banget,Positif
HelloTalk,5,Bagus bangett apk nya gaada bug sama sekali,bagus banget aplikasi gaada bug,Positif
Duolingo,2,"belajarnya terlalu nyantai, ituÂ² aja.",ajar nyantai itu,Negatif
Duolingo,2,"perbaiki duolingo saya! saat menyelesaikan pelajaran tidak ada suaranya, perbaiki SECEPATNYA!",baik selesai ajar suara baik cepat,Negatif
Duolingo,1,aplikasi untuk membantu belajar dengan unsur iklan judi online yang sangat mantap. mengajarkan kelebihan dari melakukan judi online melalui iklan yang ada dalam aplikasi,aplikasi bantu ajar unsur iklan judi online mantap ajar lebih judi online iklan aplikasi,Negatif
Duolingo,1,sebenernya suka sama aplikasinya tapi karena ini aplikasi support LGBT saya kasih bintang 1. SAYA MENERIMA PERBEDAAN BUKAN PENYIMPANGAN!!!!!,sebenernya suka aplikasi aplikasi support lgbt kasih bintang terima beda simpang,Negatif
Duolingo,1,Pemerintah Indo gimana nih aplikasi pro LGBT didiemin aja. bukannya direvisi,perintah indo gimana aplikasi pro lgbt didiemin revisi,Negatif
Duolingo,4,iklan yang terlalu lama,iklan,Negatif
Duolingo,1,"parah masa cerita nya banyak mengandung cerita LGBT gak banget si, auto uninstall ðŸ«©",parah cerita kandung cerita lgbt banget auto uninstall,Negatif
Duolingo,3,"sebenarnya bagus untuk belajar bhs inggris, tapi astagfirullah secara tidak langsung dari sebagian dialog nya contohin suka sesama jenis. Naudzubillah semoga generasi kita di jauh kan dari kaum Nabi luth. dibagian 1 unit 7 tentang bulan madu, ada dialog pasangan sesama jenis nya.",bagus ajar bahasa inggris astagfirullah langsung dialog contohin suka jenis naudzubillah moga generasi jauh kaum nabi luth bagi unit madu dialog pasang jenis,Negatif
Duolingo,1,bug nya ribet saya sudah selesai belajar malah loading(gak bakal selesai) loading nya lama banget dan kalo keluar itu level gak naik jadi buang energi doang level nya gak naik belajar naikin energi juga gak bisa tolong di fix,bugnya ribet selesai ajar loading selesai loadingnya banget kalo level buang energi doang level ajar naikin energi tolong fix,Negatif
Duolingo,4,nyebelin banget pake ngelag segalaaðŸ˜¤ udah bagus tapi kekurangan xp nya ga nambah nambah!,nyebelin banget pakai ngelag segalaa bagus kurang nambah nambah,Negatif
Duolingo,1,"Saya menghargai materi interaktif Duolingo, tapi beberapa dialog pembelajaran menampilkan hubungan LGBT seperti perempuan malah berpacaran dengan perempuan. Mengingat aplikasi ini juga dipakai anak-anak, mungkin bisa dipertimbangkan konteks atau peringatan konten agar lebih sesuai untuk target usia mereka.",harga materi interaktif dialog ajar tampil hubung lgbt perempuan pacar perempuan aplikasi pakai anakanak timbang konteks ingat konten sesuai target usia,Negatif
Duolingo,2,"bug nya banyak banget, materi suka gak jelas, jawaban saya yang bener di salahkan dengan jawaban yang tidak jelas, tolong dibenerin",bugnya banget materi suka salah tolong dibenerin,Negatif
Duolingo,1,akuu mau bayar super duolingo tapi gabisa katanya terjadi kesalahan,akuu bayar super tidak bisa salah,Negatif
Duolingo,4,Gak bisa masukkin skor ke linkedin,masukin skor linkedin,Negatif
Duolingo,1,Ad unsur Lgbt nya,unsur lgbt,Negatif
Duolingo,1,"Uninstal, duolingo ternyata pro LG*T",uninstal pro,Negatif
Duolingo,1,duit gua balikin bg,duit balikin,Negatif
Duolingo,4,"dari aplikasi sih, udah bagus, tapi aku kasih bintang 4 soalnya pas suruh niruin kalimat atau ngomong gitu padahal aku udah bener tapi tetep salah",aplikasi bagus kasih bintang sesuai suruh niruin kalimat ngomong gitu tetep salah,Negatif
Duolingo,1,tolong iklan dihapus dan hati nya ditambah lgi masa harus premium dulu kasian yg mau belajar bahasa gak premium?! Cih mana pas di terakhir salah nya tambah lgi gak lo hati nya? ðŸ¤¢ðŸ˜’,tolong iklan hapus hati tambah lgi premium kasi ajar bahasa premium cih sesuai salah lgi hati,Negatif
Duolingo,4,"satu saja, tolong di sesi cerita jangan ada (gay/hubungan sesama jenis) itu membuat saya ngeri dan terasa menjijikan. tolong pakai hubungan yang normal seperti umumnya bukan hubungan yang membuat penyakit.",tolong sesi cerita gayhubungan jenis ngeri jijik tolong pakai hubung normal hubung sakit,Negatif
Duolingo,3,terkadang saat latihan berbicara duolingo tidak mendengar,terkadang latih bicara dengar,Negatif
Duolingo,4,"Entah kenapa duolingo sekarang lama banget loadingnya. Hampir tiap hari kelamaan loading, waktu makin tebuang-buang hanya untuk streak hari aman",banget loadingnya loading tebuangbuang streak aman,Negatif
Duolingo,1,tambahin fitur Ã¬zin dong masak gw sakit di suruh nyalain api,tambahin fitur zin masak sakit suruh nyalain api,Negatif
Duolingo,1,masih satu aplikasi tapi beda fitur spesifikasi temenku pakenya energi terus bisa pake penutur indo pas belajar bahasa lain tapi kalo sistemku pakenya hati terus harus nyelesain belajar bahasa yang pertama dulu,aplikasi beda fitur spesifikasi temenku pakenya energi pakai tutur indo sesuai ajar bahasa kalo sistem pakenya hati nyelesain ajar bahasa,Negatif
Duolingo,1,"malah menyuarakan lgbt, padahal bagus loh. cuman aku agak sedikit terganggu sama cara kalian nyelipin lgbt di dalamnya. ga banget buat anak anak ðŸ‘ŽðŸ‘ŽðŸ‘Ž geli jujur setiap baca atau dengernya huekk",suara lgbt bagus loh ganggu nyelipin lgbt dalam banget anak anak geli jujur baca dengernya huekk,Negatif
Duolingo,2,membayar aku kira engak ðŸ˜­ðŸ˜­ðŸ˜­,bayar engak,Negatif
Duolingo,1,"aplikasi badjingan.. gw mau ngecancel max, kgk bisa bisa anj daritadi...",aplikasi badjingan ngecancel max kgk anj daritadi,Negatif
Duolingo,1,"kok grandma diartikan sebagai cucu dan juga nenek diasaat yang sama? ini lagi kalimat aku suka menonton konser malah jadi i like watching the concert, ini kan bearti dia membicarakan spesifik konser yang sedang dia tonton, gimana bisa tau bahwa dia membicarakan spesifik konser yang dia tonton atau semua konser? Acara besar itu sangat menyenangkan malah diartikan jadi Big events are so fun, kan ada kata itu, artinya dia membicarakan spesifik 1 acara, bukan banyak acara",grandma arti cucu nenek diasaat kalimat suka tonton konser like watching the concert bearti bicara spesifik konser tonton gimana tau bicara spesifik konser tonton konser acara senang arti big events are fun bicara spesifik acara acara,Negatif
Duolingo,2,pelajaran nya di ulang terus dan kaya ga ada kata lainðŸ‘ŽðŸ¼,ajar ulang kaya lain,Negatif
Duolingo,1,bagus buat pemula tapi kenapa harus ada unsur lgbt nya padahal kalo normal worth it bgt buat pemula:(,bagus mula unsur lgbt kalo normal worth banget mula,Negatif
Busuu,5,Ui nya agak lola aja sih,lola,Negatif
Busuu,5,please fix the bugs. saya tidak bisa masuk kembali dengan gmail yang sudah terdaftar ataupun dengan nomor telepon. tampilan selalu kembali ke awal pilihan bahasa.,please fix the bugs masuk gmail daftar nomor telepon tampil pilih bahasa,Negatif
Busuu,5,"Aplikasi belajar yg bagus untuk kita yg ingin menambah skil bahasa, tetapi mengapa akhir akhir ini ketika di buka aplikasinya, tiba tiba keluar sendiri, tolong masukannya developer busuk yg terhormat.",aplikasi ajar bagus tambah skil bahasa buka aplikasi tolong masuk developer hormat,Negatif
Busuu,3,awalnya sangat dipermudah tapi setelah beberapa hari GK bisa dipake kesalahan jaringan padahal wifiku baik2 aja kenceng sinyalnya sangat memperihatinkan ðŸ‘Ž,mudah dipake salah jaring wifiku baik2 kenceng sinyal memperihatinkan,Negatif
Busuu,3,"stelah sya nympe di tingkat A2 jepang, ada bug ketika pelajaran yang sangat mengganggu, yaitu TULISAN JEPANG pas latihan bnyak yg terpotong,jdi gk bisa baca sepenuh nya. dan sya sering slah krna itu. untuk para developer tlong perbaiki bug nya ya. selain komplain ini busuu tetap bagus bagi saya. trimakasih",stelah sya nympe tingkat jepang bug ajar ganggu tulis jepang sesuai latih bnyak potong baca sepenuh sya slah krna developer tlong baik bug komplain bagus trimakasih,Negatif
Busuu,5,Loadingnya sering lama,loadingnya,Negatif
Busuu,3,"suka banget belajar bahasa di busu, aku ga pernah masalah sama iklan karena itu sumber pemasukan untuk aplikasi nya juga, masalah nya aku baru di tahap awal banget pakai busu sudah harus premium aja, belum juga mulai loh",suka banget ajar bahasa iklan sumber pasu aplikasi tahap banget pakai premium loh,Negatif
Busuu,2,gila iklannya banyak banget dan mengganggu,gila iklan banget ganggu,Negatif
Busuu,1,"bagus, tapi mau upgrade ke premium gabisa pembayaran melalui Telkomsel selalu ditolak",bagus upgrade premium tidak bisa bayar telkomsel tolak,Negatif
Busuu,1,"jelek., harus bayar dan berlangganan",jelek bayar langgan,Negatif
Busuu,1,"Hi, min ini kenapa aplikasi selalu error saat saya login maupun belajar padahal jaringan saya baik baik saja",min aplikasi error login ajar jaring,Negatif
